Ward Number,Year,Program/Agency Name,Budget Item,Capital Investment
Ward 12,2023,Infrastructure,Infrastructure Investment,481232.78
Ward 13,2023,Infrastructure,Infrastructure Investment,155757.82
Ward 14,2023,Infrastructure,Infrastructure Investment,395083.47
Ward 15,2023,Infrastructure,Infrastructure Investment,475755.72
Ward 16,2023,Infrastructure,Infrastructure Investment,459138.69
Ward 17,2023,Infrastructure,Infrastructure Investment,213843.37
Ward 18,2023,Infrastructure,Infrastructure Investment,94925.88
Ward 19,2023,Infrastructure,Infrastructure Investment,NA
Ward 20,2023,Infrastructure,Infrastructure Investment,126416.88
Ward 21,2023,Infrastructure,Infrastructure Investment,390833.48
Ward 22,2023,Infrastructure,Infrastructure Investment,193672.81
Ward 23,2023,Infrastructure,Infrastructure Investment,416871.2
Ward 24,2023,Infrastructure,Infrastructure Investment,490127.79
Ward 25,2023,Infrastructure,Infrastructure Investment,107052.63
CW,2023,Infrastructure,Infrastructure Investment,126448.43
Ward 1,2024,Infrastructure,Infrastructure Investment,301162.06
Ward 2,2024,Infrastructure,Infrastructure Investment,190772.29
Ward 3,2024,Infrastructure,Infrastructure Investment,277164.25
Ward 4,2024,Infrastructure,Infrastructure Investment,492494.51
Ward 5,2024,Infrastructure,Infrastructure Investment,376047.4
Ward 6,2024,Infrastructure,Infrastructure Investment,416007
Ward 7,2024,Infrastructure,Infrastructure Investment,275400.93
Ward 8,2024,Infrastructure,Infrastructure Investment,266714.06
Ward 9,2024,Infrastructure,Infrastructure Investment,457523.12
Ward 10,2024,Infrastructure,Infrastructure Investment,316800.6
Ward 11,2024,Infrastructure,Infrastructure Investment,66217.87
Ward 12,2024,Infrastructure,Infrastructure Investment,124591.92
Ward 13,2024,Infrastructure,Infrastructure Investment,446617.92
Ward 14,2024,Infrastructure,Infrastructure Investment,237613.95
Ward 15,2024,Infrastructure,Infrastructure Investment,384271.13
Ward 16,2024,Infrastructure,Infrastructure Investment,62136.57
Ward 17,2024,Infrastructure,Infrastructure Investment,350614.39
Ward 18,2024,Infrastructure,Infrastructure Investment,158061.79
Ward 19,2024,Infrastructure,Infrastructure Investment,435638.53
Ward 20,2024,Infrastructure,Infrastructure Investment,302817.76
Ward 21,2024,Infrastructure,Infrastructure Investment,301740.44
Ward 22,2024,Infrastructure,Infrastructure Investment,-
Ward 23,2024,Infrastructure,Infrastructure Investment,423142.83
Ward 24,2024,Infrastructure,Infrastructure Investment,129644.18
Ward 25,2024,Infrastructure,Infrastructure Investment,417528.9
CW,2024,Infrastructure,Infrastructure Investment,263792
Ward 1,2025,Infrastructure,Infrastructure Investment,90610.52
Ward 2,2025,Infrastructure,Infrastructure Investment,342751.12
Ward 3,2025,Infrastructure,Infrastructure Investment,84585.93
Ward 4,2025,Infrastructure,Infrastructure Investment,149580.94
Ward 5,2025,Infrastructure,Infrastructure Investment,419599.95
Ward 6,2025,Infrastructure,Infrastructure Investment,303790.71
Ward 7,2025,Infrastructure,Infrastructure Investment,83712.87
Ward 8,2025,Infrastructure,Infrastructure Investment,185504.76
Ward 9,2025,Infrastructure,Infrastructure Investment,390787.69
Ward 10,2025,Infrastructure,Infrastructure Investment,454113.45
Ward 11,2025,Infrastructure,Infrastructure Investment,173604.03
Ward 12,2025,Infrastructure,Infrastructure Investment,133631.4
Ward 13,2025,Infrastructure,Infrastructure Investment,277347.09
Ward 14,2025,Infrastructure,Infrastructure Investment,55000.86
Ward 15,2025,Infrastructure,Infrastructure Investment,92448.51
Ward 16,2025,Infrastructure,Infrastructure Investment,227382.34
Ward 17,2025,Infrastructure,Infrastructure Investment,240744.57
Ward 18,2025,Infrastructure,Infrastructure Investment,222061.07
Ward 19,2025,Infrastructure,Infrastructure Investment,312792.44
Ward 20,2025,Infrastructure,Infrastructure Investment,409354.33
Ward 21,2025,Infrastructure,Infrastructure Investment,368721.36
Ward 22,2025,Infrastructure,Infrastructure Investment,174732.75
Ward 23,2025,Infrastructure,Infrastructure Investment,231911.81
Ward 24,2025,Infrastructure,Infrastructure Investment,259817.56
Ward 25,2025,Infrastructure,Infrastructure Investment,233640.43
CW,2025,Infrastructure,Infrastructure Investment,404173.76
Ward 1,2026,Infrastructure,Infrastructure Investment,360113.63
Ward 2,2026,Infrastructure,Infrastructure Investment,450254.43
Ward 3,2026,Infrastructure,Infrastructure Investment,359864.81
Ward 4,2026,Infrastructure,Infrastructure Investment,121142.47
Ward 5,2026,Infrastructure,Infrastructure Investment,NA
Ward 6,2026,Infrastructure,Infrastructure Investment,342988.89
Ward 7,2026,Infrastructure,Infrastructure Investment,297710.79
Ward 8,2026,Infrastructure,Infrastructure Investment,246467.31
Ward 9,2026,Infrastructure,Infrastructure Investment,240599.42
Ward 10,2026,Infrastructure,Infrastructure Investment,146648.12
Ward 11,2026,Infrastructure,Infrastructure Investment,411171.28
Ward 12,2026,Infrastructure,Infrastructure Investment,222964.68
Ward 13,2026,Infrastructure,Infrastructure Investment,416324.64
Ward 14,2026,Infrastructure,Infrastructure Investment,118196.44
Ward 15,2026,Infrastructure,Infrastructure Investment,383114.94
Ward 16,2026,Infrastructure,Infrastructure Investment,471386.61
Ward 17,2026,Infrastructure,Infrastructure Investment,434963.72
Ward 18,2026,Infrastructure,Infrastructure Investment,494767.92
Ward 19,2026,Infrastructure,Infrastructure Investment,306266.62
Ward 20,2026,Infrastructure,Infrastructure Investment,304695.31
Ward 21,2026,Infrastructure,Infrastructure Investment,335160.1
Ward 22,2026,Infrastructure,Infrastructure Investment,63212.1
Ward 23,2026,Infrastructure,Infrastructure Investment,334718.77
Ward 24,2026,Infrastructure,Infrastructure Investment,217713.58
Ward 25,2026,Infrastructure,Infrastructure Investment,474828.1
CW,2026,Infrastructure,Infrastructure Investment,396614.28
Ward 1,2027,Infrastructure,Infrastructure Investment,315347.2
Ward 2,2027,Infrastructure,Infrastructure Investment,285973.92
Ward 3,2027,Infrastructure,Infrastructure Investment,492432.05
Ward 4,2027,Infrastructure,Infrastructure Investment,439099.02
Ward 5,2027,Infrastructure,Infrastructure Investment,119074.46
Ward 6,2027,Infrastructure,Infrastructure Investment,189890.28
Ward 7,2027,Infrastructure,Infrastructure Investment,455632.21
Ward 8,2027,Infrastructure,Infrastructure Investment,321201.18
Ward 9,2027,Infrastructure,Infrastructure Investment,283939.44
Ward 10,2027,Infrastructure,Infrastructure Investment,478655.68
Ward 11,2027,Infrastructure,Infrastructure Investment,378236.46
Ward 12,2027,Infrastructure,Infrastructure Investment,250003.86
Ward 13,2027,Infrastructure,Infrastructure Investment,249005.53
Ward 14,2027,Infrastructure,Infrastructure Investment,123031.15
Ward 15,2027,Infrastructure,Infrastructure Investment,56583.44
Ward 16,2027,Infrastructure,Infrastructure Investment,386433.22
Ward 17,2027,Infrastructure,Infrastructure Investment,437223.27
Ward 18,2027,Infrastructure,Infrastructure Investment,443056.55
Ward 19,2027,Infrastructure,Infrastructure Investment,377974.56
Ward 20,2027,Infrastructure,Infrastructure Investment,299756.79
Ward 21,2027,Infrastructure,Infrastructure Investment,62241.59
Ward 22,2027,Infrastructure,Infrastructure Investment,176232.56
Ward 23,2027,Infrastructure,Infrastructure Investment,435941.94
Ward 24,2027,Infrastructure,Infrastructure Investment,186333.27
Ward 25,2027,Infrastructure,Infrastructure Investment,158576.4
CW,2027,Infrastructure,Infrastructure Investment,347210.59
Ward 1,2028,Infrastructure,Infrastructure Investment,492617.2
Ward 2,2028,Infrastructure,Infrastructure Investment,188565.64
Ward 3,2028,Infrastructure,Infrastructure Investment,194068.09
Ward 4,2028,Infrastructure,Infrastructure Investment,177448.65
Ward 5,2028,Infrastructure,Infrastructure Investment,195650.43
Ward 6,2028,Infrastructure,Infrastructure Investment,422319.53
Ward 7,2028,Infrastructure,Infrastructure Investment,331687.35
Ward 8,2028,Infrastructure,Infrastructure Investment,221820.2
Ward 9,2028,Infrastructure,Infrastructure Investment,262933.85
Ward 10,2028,Infrastructure,Infrastructure Investment,100065.82
Ward 11,2028,Infrastructure,Infrastructure Investment,275619.66
Ward 12,2028,Infrastructure,Infrastructure Investment,478955.57
Ward 13,2028,Infrastructure,Infrastructure Investment,243777.78
Ward 14,2028,Infrastructure,Infrastructure Investment,216008.97
Ward 15,2028,Infrastructure,Infrastructure Investment,427807.05
Ward 16,2028,Infrastructure,Infrastructure Investment,394881.57
Ward 17,2028,Infrastructure,Infrastructure Investment,450132.45
Ward 18,2028,Infrastructure,Infrastructure Investment,70219.27
Ward 19,2028,Infrastructure,Infrastructure Investment,118934.37
Ward 20,2028,Infrastructure,Infrastructure Investment,428121.49
Ward 21,2028,Infrastructure,Infrastructure Investment,388279.07
Ward 22,2028,Infrastructure,Infrastructure Investment,360207.58
Ward 23,2028,Infrastructure,Infrastructure Investment,139741.48
Ward 24,2028,Infrastructure,Infrastructure Investment,133070.09
Ward 25,2028,Infrastructure,Infrastructure Investment,456506.17
CW,2028,Infrastructure,Infrastructure Investment,166416.69
Ward 1,2029,Infrastructure,Infrastructure Investment,189882.71
Ward 2,2029,Infrastructure,Infrastructure Investment,452591.2
Ward 3,2029,Infrastructure,Infrastructure Investment,340973.07
Ward 4,2029,Infrastructure,Infrastructure Investment,193833.79
Ward 5,2029,Infrastructure,Infrastructure Investment,NA
Ward 6,2029,Infrastructure,Infrastructure Investment,442807.24
Ward 7,2029,Infrastructure,Infrastructure Investment,280602.45
Ward 8,2029,Infrastructure,Infrastructure Investment,468875.75
Ward 9,2029,Infrastructure,Infrastructure Investment,425503.45
Ward 10,2029,Infrastructure,Infrastructure Investment,264702.61
Ward 11,2029,Infrastructure,Infrastructure Investment,76984.1
Ward 12,2029,Infrastructure,Infrastructure Investment,274190.22
Ward 13,2029,Infrastructure,Infrastructure Investment,204957.85
Ward 14,2029,Infrastructure,Infrastructure Investment,405553.92
Ward 15,2029,Infrastructure,Infrastructure Investment,176524.38
Ward 16,2029,Infrastructure,Infrastructure Investment,347904.79
Ward 17,2029,Infrastructure,Infrastructure Investment,491832.92
Ward 18,2029,Infrastructure,Infrastructure Investment,162536.63
Ward 19,2029,Infrastructure,Infrastructure Investment,305521.22
Ward 20,2029,Infrastructure,Infrastructure Investment,313639.99
Ward 21,2029,Infrastructure,Infrastructure Investment,336373.41
Ward 22,2029,Infrastructure,Infrastructure Investment,335154.55
Ward 23,2029,Infrastructure,Infrastructure Investment,346964.96
Ward 24,2029,Infrastructure,Infrastructure Investment,133433.74
Ward 25,2029,Infrastructure,Infrastructure Investment,385134.74
CW,2029,Infrastructure,Infrastructure Investment,290244.51
Ward 1,2030,Infrastructure,Infrastructure Investment,283079.7
Ward 2,2030,Infrastructure,Infrastructure Investment,330671.58
Ward 3,2030,Infrastructure,Infrastructure Investment,428020.03
Ward 4,2030,Infrastructure,Infrastructure Investment,421001.2
Ward 5,2030,Infrastructure,Infrastructure Investment,124309.34
Ward 6,2030,Infrastructure,Infrastructure Investment,204251.89
Ward 7,2030,Infrastructure,Infrastructure Investment,239587.9
Ward 8,2030,Infrastructure,Infrastructure Investment,78697.74
Ward 9,2030,Infrastructure,Infrastructure Investment,82402.55
Ward 10,2030,Infrastructure,Infrastructure Investment,223578.46
Ward 11,2030,Infrastructure,Infrastructure Investment,174014.12
Ward 12,2030,Infrastructure,Infrastructure Investment,288089.89
Ward 13,2030,Infrastructure,Infrastructure Investment,411738
Ward 14,2030,Infrastructure,Infrastructure Investment,247515.38
Ward 15,2030,Infrastructure,Infrastructure Investment,140987.82
Ward 16,2030,Infrastructure,Infrastructure Investment,433681.45
Ward 17,2030,Infrastructure,Infrastructure Investment,313028.08
Ward 18,2030,Infrastructure,Infrastructure Investment,326607.18
Ward 19,2030,Infrastructure,Infrastructure Investment,245590.09
Ward 20,2030,Infrastructure,Infrastructure Investment,171696.3
Ward 21,2030,Infrastructure,Infrastructure Investment,146749.21
Ward 22,2030,Infrastructure,Infrastructure Investment,229308.76
Ward 23,2030,Infrastructure,Infrastructure Investment,424969.87
Ward 24,2030,Infrastructure,Infrastructure Investment,381890.89
Ward 25,2030,Infrastructure,Infrastructure Investment,109995
CW,2030,Infrastructure,Infrastructure Investment,118106.46
Ward 1,2031,Infrastructure,Infrastructure Investment,401416.1
Ward 2,2031,Infrastructure,Infrastructure Investment,324677.33
Ward 3,2031,Infrastructure,Infrastructure Investment,98563.6
Ward 4,2031,Infrastructure,Infrastructure Investment,403553.78
Ward 5,2031,Infrastructure,Infrastructure Investment,482790.25
Ward 6,2031,Infrastructure,Infrastructure Investment,429887.03
Ward 7,2031,Infrastructure,Infrastructure Investment,78429.06
Ward 8,2031,Infrastructure,Infrastructure Investment,477022.12
Ward 9,2031,Infrastructure,Infrastructure Investment,425056.22
Ward 10,2031,Infrastructure,Infrastructure Investment,479988.99
Ward 11,2031,Infrastructure,Infrastructure Investment,180527.41
Ward 12,2031,Infrastructure,Infrastructure Investment,438588.78
Ward 13,2031,Infrastructure,Infrastructure Investment,434791.99
Ward 14,2031,Infrastructure,Infrastructure Investment,85537.92
Ward 15,2031,Infrastructure,Infrastructure Investment,358715.03
Ward 16,2031,Infrastructure,Infrastructure Investment,306242.68
Ward 17,2031,Infrastructure,Infrastructure Investment,467794.55
Ward 18,2031,Infrastructure,Infrastructure Investment,177267.95
Ward 19,2031,Infrastructure,Infrastructure Investment,380952.48
Ward 20,2031,Infrastructure,Infrastructure Investment,158311.43
Ward 21,2031,Infrastructure,Infrastructure Investment,160998.44
Ward 22,2031,Infrastructure,Infrastructure Investment,351405.62
Ward 23,2031,Infrastructure,Infrastructure Investment,473421.36
Ward 24,2031,Infrastructure,Infrastructure Investment,377886.32
Ward 25,2031,Infrastructure,Infrastructure Investment,125636.58
CW,2031,Infrastructure,Infrastructure Investment,322371.8
Ward 1,2022,Education,Education Investment,119964.81
Ward 2,2022,Education,Education Investment,158063.47
Ward 3,2022,Education,Education Investment,220232.98
Ward 4,2022,Education,Education Investment,350198.34
Ward 5,2022,Education,Education Investment,188749.69
Ward 6,2022,Education,Education Investment,227642.11
Ward 7,2022,Education,Education Investment,322567.61
Ward 8,2022,Education,Education Investment,108856.21
Ward 9,2022,Education,Education Investment,331665.28
Ward 10,2022,Education,Education Investment,289488.63
Ward 11,2022,Education,Education Investment,423952.61
Ward 12,2022,Education,Education Investment,144338.13
Ward 13,2022,Education,Education Investment,356961.46
Ward 14,2022,Education,Education Investment,59603.68
Ward 15,2022,Education,Education Investment,363904.48
Ward 16,2022,Education,Education Investment,-
Ward 17,2022,Education,Education Investment,313290.05
Ward 18,2022,Education,Education Investment,164376.96
Ward 19,2022,Education,Education Investment,355055.95
Ward 20,2022,Education,Education Investment,433506.37
Ward 21,2022,Education,Education Investment,274925.03
Ward 22,2022,Education,Education Investment,190899.05
Ward 23,2022,Education,Education Investment,242273.33
Ward 24,2022,Education,Education Investment,71222.8
Ward 25,2022,Education,Education Investment,187553.33
CW,2022,Education,Education Investment,225171.31
Ward 1,2023,Education,Education Investment,105447.96
Ward 2,2023,Education,Education Investment,70364.11
Ward 3,2023,Education,Education Investment,138513.58
Ward 4,2023,Education,Education Investment,485528.38
Ward 5,2023,Education,Education Investment,174810.22
Ward 6,2023,Education,Education Investment,398009.57
Ward 7,2023,Education,Education Investment,72822.57
Ward 8,2023,Education,Education Investment,463341.54
Ward 9,2023,Education,Education Investment,188063.24
Ward 10,2023,Education,Education Investment,214517.52
Ward 11,2023,Education,Education Investment,284193.76
Ward 12,2023,Education,Education Investment,494340.64
Ward 13,2023,Education,Education Investment,105852.83
Ward 14,2023,Education,Education Investment,174721.14
Ward 15,2023,Education,Education Investment,261595.97
Ward 16,2023,Education,Education Investment,456222.78
Ward 17,2023,Education,Education Investment,198130.82
Ward 18,2023,Education,Education Investment,260815.33
Ward 19,2023,Education,Education Investment,144821.46
Ward 20,2023,Education,Education Investment,188454.03
Ward 21,2023,Education,Education Investment,412545.57
Ward 22,2023,Education,Education Investment,182074.01
Ward 23,2023,Education,Education Investment,319560.23
Ward 24,2023,Education,Education Investment,97964.15
Ward 25,2023,Education,Education Investment,423383.99
CW,2023,Education,Education Investment,429994.94
Ward 1,2024,Education,Education Investment,288775.64
Ward 2,2024,Education,Education Investment,315718.88
Ward 3,2024,Education,Education Investment,495736.4
Ward 4,2024,Education,Education Investment,134987.73
Ward 5,2024,Education,Education Investment,383253.11
Ward 6,2024,Education,Education Investment,148748.29
Ward 7,2024,Education,Education Investment,372976.08
Ward 8,2024,Education,Education Investment,425479.39
Ward 9,2024,Education,Education Investment,NA
Ward 10,2024,Education,Education Investment,209827.45
Ward 11,2024,Education,Education Investment,412797.16
Ward 12,2024,Education,Education Investment,109161.94
Ward 13,2024,Education,Education Investment,63432.94
Ward 14,2024,Education,Education Investment,469924.86
Ward 15,2024,Education,Education Investment,74166.3
Ward 16,2024,Education,Education Investment,177694.51
Ward 17,2024,Education,Education Investment,335323.12
Ward 18,2024,Education,Education Investment,450026.81
Ward 19,2024,Education,Education Investment,299225.75
Ward 20,2024,Education,Education Investment,484878.14
Ward 21,2024,Education,Education Investment,71248.07
Ward 22,2024,Education,Education Investment,433020.74
Ward 23,2024,Education,Education Investment,371661.67
Ward 24,2024,Education,Education Investment,405051.32
Ward 25,2024,Education,Education Investment,309719.17
CW,2024,Education,Education Investment,230180.95
Ward 1,2025,Education,Education Investment,415610.74
Ward 2,2025,Education,Education Investment,350156.39
Ward 3,2025,Education,Education Investment,367381.8
Ward 4,2025,Education,Education Investment,113788.19
Ward 5,2025,Education,Education Investment,287067.18
Ward 6,2025,Education,Education Investment,371787.81
Ward 7,2025,Education,Education Investment,242285.51
Ward 8,2025,Education,Education Investment,60943.44
Ward 9,2025,Education,Education Investment,443368.74
Ward 10,2025,Education,Education Investment,368933.95
Ward 11,2025,Education,Education Investment,454929.95
Ward 12,2025,Education,Education Investment,349665.28
Ward 13,2025,Education,Education Investment,277646.8
Ward 14,2025,Education,Education Investment,344140.93
Ward 15,2025,Education,Education Investment,71649.4
Ward 16,2025,Education,Education Investment,154064.64
Ward 17,2025,Education,Education Investment,100411.99
Ward 18,2025,Education,Education Investment,432522.08
Ward 19,2025,Education,Education Investment,360339.39
Ward 20,2025,Education,Education Investment,425509.98
Ward 21,2025,Education,Education Investment,162941.53
Ward 22,2025,Education,Education Investment,198027.05
Ward 23,2025,Education,Education Investment,421629.11
Ward 24,2025,Education,Education Investment,331856.57
Ward 25,2025,Education,Education Investment,186864.34
CW,2025,Education,Education Investment,302658.1
Ward 1,2026,Education,Education Investment,199327.68
Ward 2,2026,Education,Education Investment,248750.77
Ward 3,2026,Education,Education Investment,226914.44
Ward 4,2026,Education,Education Investment,192182.91
Ward 5,2026,Education,Education Investment,387330.62
Ward 6,2026,Education,Education Investment,296045.28
Ward 7,2026,Education,Education Investment,352538.05
Ward 8,2026,Education,Education Investment,157652.93
Ward 9,2026,Education,Education Investment,282019.23
Ward 10,2026,Education,Education Investment,158716.33
Ward 11,2026,Education,Education Investment,456048.16
Ward 12,2026,Education,Education Investment,141404.82
Ward 13,2026,Education,Education Investment,463061.47
Ward 14,2026,Education,Education Investment,304581.59
Ward 15,2026,Education,Education Investment,407883.6
Ward 16,2026,Education,Education Investment,308523.09
Ward 17,2026,Education,Education Investment,59230.91
Ward 18,2026,Education,Education Investment,450176.28
Ward 19,2026,Education,Education Investment,219034.52
Ward 20,2026,Education,Education Investment,118723.98
Ward 21,2026,Education,Education Investment,127463.42
Ward 22,2026,Education,Education Investment,299798.95
Ward 23,2026,Education,Education Investment,126641.63
Ward 24,2026,Education,Education Investment,384887.18
Ward 25,2026,Education,Education Investment,87954.96
CW,2026,Education,Education Investment,NA
Ward 1,2027,Education,Education Investment,110753.19
Ward 2,2027,Education,Education Investment,121394.45
Ward 3,2027,Education,Education Investment,325872.65
Ward 4,2027,Education,Education Investment,208876.99
Ward 5,2027,Education,Education Investment,297481.66
Ward 6,2027,Education,Education Investment,135873.58
Ward 7,2027,Education,Education Investment,314411.92
Ward 8,2027,Education,Education Investment,293838.94
Ward 9,2027,Education,Education Investment,274906.42
Ward 10,2027,Education,Education Investment,86975.6
Ward 11,2027,Education,Education Investment,331989.82
Ward 12,2027,Education,Education Investment,396524.85
Ward 13,2027,Education,Education Investment,294153.96
Ward 14,2027,Education,Education Investment,308327.41
Ward 15,2027,Education,Education Investment,104772.06
Ward 16,2027,Education,Education Investment,193476.3
Ward 17,2027,Education,Education Investment,171513.19
Ward 18,2027,Education,Education Investment,277634.78
Ward 19,2027,Education,Education Investment,489779.77
Ward 20,2027,Education,Education Investment,112473.78
Ward 21,2027,Education,Education Investment,259023.04
Ward 22,2027,Education,Education Investment,190572.89
Ward 23,2027,Education,Education Investment,319214.41
Ward 24,2027,Education,Education Investment,106970.73
Ward 25,2027,Education,Education Investment,276258.23
CW,2027,Education,Education Investment,467098.22
Ward 1,2028,Education,Education Investment,279013.72
Ward 2,2028,Education,Education Investment,490801.11
Ward 3,2028,Education,Education Investment,261282.28
Ward 4,2028,Education,Education Investment,174175.7
Ward 5,2028,Education,Education Investment,294413.24
Ward 6,2028,Education,Education Investment,387950.6
Ward 7,2028,Education,Education Investment,51614.59
Ward 8,2028,Education,Education Investment,336311.26
Ward 9,2028,Education,Education Investment,191328.18
Ward 10,2028,Education,Education Investment,282565.22
Ward 11,2028,Education,Education Investment,158083.12
Ward 12,2028,Education,Education Investment,394186.61
Ward 13,2028,Education,Education Investment,338451.74
Ward 14,2028,Education,Education Investment,107284.83
Ward 15,2028,Education,Education Investment,194839.95
Ward 16,2028,Education,Education Investment,316536.5
Ward 17,2028,Education,Education Investment,382554.55
Ward 18,2028,Education,Education Investment,428935
Ward 19,2028,Education,Education Investment,73138.49
Ward 20,2028,Education,Education Investment,323017.7
Ward 21,2028,Education,Education Investment,100238.98
Ward 22,2028,Education,Education Investment,265445.02
Ward 23,2028,Education,Education Investment,-
Ward 24,2028,Education,Education Investment,486921.79
Ward 25,2028,Education,Education Investment,123145.87
CW,2028,Education,Education Investment,263296.2
Ward 1,2029,Education,Education Investment,72061.84
Ward 2,2029,Education,Education Investment,426755.28
Ward 3,2029,Education,Education Investment,141237.16
Ward 4,2029,Education,Education Investment,327726.05
Ward 5,2029,Education,Education Investment,283203.02
Ward 6,2029,Education,Education Investment,197677.11
Ward 7,2029,Education,Education Investment,439452.27
Ward 8,2029,Education,Education Investment,210675.28
Ward 9,2029,Education,Education Investment,80769.77
Ward 10,2029,Education,Education Investment,315149.49
Ward 11,2029,Education,Education Investment,470049.06
Ward 12,2029,Education,Education Investment,365945.17
Ward 13,2029,Education,Education Investment,207064.48
Ward 14,2029,Education,Education Investment,346537.17
Ward 15,2029,Education,Education Investment,222344.38
Ward 16,2029,Education,Education Investment,183052.79
Ward 17,2029,Education,Education Investment,93737.93
Ward 18,2029,Education,Education Investment,112620.38
Ward 19,2029,Education,Education Investment,118246.37
Ward 20,2029,Education,Education Investment,390119.1
Ward 21,2029,Education,Education Investment,465551.34
Ward 22,2029,Education,Education Investment,364720.67
Ward 23,2029,Education,Education Investment,130105.79
Ward 24,2029,Education,Education Investment,329808.12
Ward 25,2029,Education,Education Investment,85931.5
CW,2029,Education,Education Investment,238749.4
Ward 1,2030,Education,Education Investment,193147.38
Ward 2,2030,Education,Education Investment,255153.52
Ward 3,2030,Education,Education Investment,133098.71
Ward 4,2030,Education,Education Investment,265969.91
Ward 5,2030,Education,Education Investment,441865.93
Ward 6,2030,Education,Education Investment,212589.31
Ward 7,2030,Education,Education Investment,168015.58
Ward 8,2030,Education,Education Investment,72129.02
Ward 9,2030,Education,Education Investment,441029.95
Ward 10,2030,Education,Education Investment,300626.86
Ward 11,2030,Education,Education Investment,84640
Ward 12,2030,Education,Education Investment,462374.84
Ward 13,2030,Education,Education Investment,180193.5
Ward 14,2030,Education,Education Investment,420679.07
Ward 15,2030,Education,Education Investment,64480.26
Ward 16,2030,Education,Education Investment,119780.64
Ward 17,2030,Education,Education Investment,185252.97
Ward 18,2030,Education,Education Investment,253768.28
Ward 19,2030,Education,Education Investment,438701.86
Ward 20,2030,Education,Education Investment,455825.12
Ward 21,2030,Education,Education Investment,114058.75
Ward 22,2030,Education,Education Investment,486109.16
Ward 23,2030,Education,Education Investment,385828.26
Ward 24,2030,Education,Education Investment,267769.43
Ward 25,2030,Education,Education Investment,139732.78
CW,2030,Education,Education Investment,77939.96
Ward 1,2031,Education,Education Investment,404194.91
Ward 2,2031,Education,Education Investment,202986.35
Ward 3,2031,Education,Education Investment,144955.38
Ward 4,2031,Education,Education Investment,230822.14
Ward 5,2031,Education,Education Investment,248521.84
Ward 6,2031,Education,Education Investment,234016.44
Ward 7,2031,Education,Education Investment,170627.46
Ward 8,2031,Education,Education Investment,132716.87
Ward 9,2031,Education,Education Investment,236846.1
Ward 10,2031,Education,Education Investment,376005.71
Ward 11,2031,Education,Education Investment,179462.61
Ward 12,2031,Education,Education Investment,100828.95
Ward 13,2031,Education,Education Investment,179490.37
Ward 14,2031,Education,Education Investment,153459.73
Ward 15,2031,Education,Education Investment,176631.12
Ward 16,2031,Education,Education Investment,314938.04
Ward 17,2031,Education,Education Investment,465990.99
Ward 18,2031,Education,Education Investment,484144.94
Ward 19,2031,Education,Education Investment,442952.37
Ward 20,2031,Education,Education Investment,470864.15
Ward 21,2031,Education,Education Investment,NA
Ward 22,2031,Education,Education Investment,256654.76
Ward 23,2031,Education,Education Investment,359776.21
Ward 24,2031,Education,Education Investment,152678.82
Ward 25,2031,Education,Education Investment,319667.91
