Program/Agency Name,Project Name,Sub-Project Name,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Total 10 Year,Ward Number,Ward,Category
City Clerk's Office,Council Business Systems,Council Business Systems 2020,435.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,435.00,CW,City Wide,Legislated 
City Clerk's Office,Council Business Systems,Council Business Systems 2025-2026, -   , -   , -   ,200.00,300.00, -   , -   , -   , -   , -   ,500.00,CW,City Wide,Legislated 
City Clerk's Office,Council Business Systems,Council Business Systems 2028-2029, -   , -   , -   , -   , -   , -   ,250.00,425.00, -   , -   ,675.00,CW,City Wide,Legislated 
City Clerk's Office,Council Transition Requirements,Council Transition Requirements 2022,300.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,300.00,CW,City Wide,Legislated 
City Clerk's Office,Council Transition Requirements,Council Transition Requirements 2025-2026, -   , -   , -   ,100.00,400.00, -   , -   , -   , -   , -   ,500.00,CW,City Wide,Legislated 
City Clerk's Office,Council Transition Requirements,Council Transition Requirements 2029-2030, -   , -   , -   , -   , -   , -   , -   ,100.00,400.00, -   ,500.00,CW,City Wide,Legislated 
City Clerk's Office,Infra. to support Council/Committee Meetings,Infra. to sup Council/Committee Mtgs 2029-2030, -   , -   , -   , -   , -   , -   , -   ,100.00,500.00, -   ,600.00,CW,City Wide,State of Good Repair 
City Clerk's Office,Infra. to support Council/Committee Meetings,Infra. to sup. Council/Committee Mtgs 2022,150.00,350.00, -   , -   , -   , -   , -   , -   , -   , -   ,500.00,CW,City Wide,State of Good Repair 
City Clerk's Office,Infra. to support Council/Committee Meetings,Infra. to sup. Council/Committee Mtgs -2025-2026, -   , -   , -   ,100.00,500.00, -   , -   , -   , -   , -   ,600.00,CW,City Wide,State of Good Repair 
City Clerk's Office,IP Workflow Management System SOGR ,Information Workflow Mgt. System SOGR 2023-2024, -   ,210.00,565.00, -   , -   , -   , -   , -   , -   , -   ,775.00,CW,City Wide,State of Good Repair 
City Clerk's Office,IP Workflow Management System SOGR ,IP Workflow Management System SOGR 2028 , -   , -   , -   , -   , -   , -   ,185.00, -   , -   , -   ,185.00,CW,City Wide,State of Good Repair 
City Clerk's Office,Notices Management Information System (NMIS) SOGR,Notices Management Information System (NMIS) SOGR, -   , -   , -   , -   , -   ,250.00, -   , -   , -   , -   ,250.00,CW,City Wide,Legislated 
City Clerk's Office,Public Appointments Information System,Public Appointments SOGR 2023-2024, -   ,210.00,215.00, -   , -   , -   , -   , -   , -   , -   ,425.00,CW,City Wide,Legislated 
City Clerk's Office,Public Appointments Information System,Public Appointments SOGR 2031 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,200.00,200.00,CW,City Wide,Legislated 
City Clerk's Office,Replacement of New Voting Equipment,Replacement of Voting Equipments,9000.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,9000.00,CW,City Wide,Legislated 
City Clerk's Office,Replacement of New Voting Equipment,Replacement of Voting Equipments (scope change),-7200.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-7200.00,CW,City Wide,Legislated 
City Clerk's Office,TMMIS SOGR, TMMIS SOGR 2028-2031, -   , -   , -   , -   , -   , -   ,350.00,350.00,350.00,350.00,1400.00,CW,City Wide,Legislated 
City Clerk's Office,TMMIS SOGR,TMMIS SOGR 2019,260.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,260.00,CW,City Wide,Legislated 
City Clerk's Office,TMMIS SOGR,TMMIS SOGR 2019 (scope change),10.00,260.00, -   , -   , -   , -   , -   , -   , -   , -   ,270.00,CW,City Wide,Legislated 
City Clerk's Office,Toronto Election Management Info System (TEMIS),2022 Election Technology Program,910.00,750.00, -   , -   , -   , -   , -   , -   , -   , -   ,1660.00,CW,City Wide,Legislated 
City Clerk's Office,Toronto Election Management Info System (TEMIS),2026 Election Technology Program, -   ,700.00,770.00,2850.00,435.00,620.00, -   , -   , -   , -   ,5375.00,CW,City Wide,Legislated 
City Clerk's Office,Toronto Election Management Info System (TEMIS),2030 Election Technology Program , -   , -   , -   , -   , -   ,750.00,800.00,3000.00,700.00,500.00,5750.00,CW,City Wide,Legislated 
City Clerk's Office,Wedding Chambers SOGR,Wedding Chambers Renovation SOGR 2023-2024, -   ,100.00,200.00, -   , -   , -   , -   , -   , -   , -   ,300.00,CW,City Wide,State of Good Repair 
City Planning,DEVELOPMENT STUDIES,Avenue/Area Studies,250.00,250.00,250.00,250.00,300.00,300.00,300.00,300.00,300.00,300.00,2800.00,CW,City Wide,Growth Related 
City Planning,DEVELOPMENT STUDIES,Growth Secondary Plan Implementation ,123.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,123.00,CW,City Wide,Growth Related 
City Planning,DEVELOPMENT STUDIES,Growth Studies,1100.00,1623.00,1700.00,1400.00,1500.00,1500.00,1500.00,1500.00,1500.00,1500.00,14823.00,CW,City Wide,Growth Related 
City Planning,DEVELOPMENT STUDIES,Heritage Studies,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,400.00,4000.00,CW,City Wide,Growth Related 
City Planning,DEVELOPMENT STUDIES,Transportation & Transit Planning Studies,400.00,500.00,540.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,4940.00,CW,City Wide,Growth Related 
City Planning,OFFICIAL PLAN,FIVE YEAR REVIEW OF THE OFFICIAL PLAN,300.00,200.00,350.00,500.00,400.00,300.00,150.00, -   ,250.00,250.00,2700.00,CW,City Wide,Legislated 
City Planning,PLACES - CIVIC IMPROVEMENTS,PLACES,2423.00,3577.00,3430.00,2936.00,2968.00,3000.00,3000.00,3000.00,3000.00,3000.00,30334.00,CW,City Wide,Growth Related 
City Planning,ZONING BY-LAW,OP Conformity Review,140.00,200.00,100.00, -   , -   , -   ,225.00, -   , -   , -   ,665.00,CW,City Wide,Legislated 
Corporate Initiatives, Rail Deck Park (CCI102-01),Rail Deck Park,960.00,560.00, -   , -   , -   , -   , -   , -   , -   , -   ,1520.00,CW,City Wide,Growth Related 
Corporate Real Estate Management, Security, Var Locs - Global Corp Security Program,650.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,650.00,CW,City Wide,Service Improvement and Enhancement 
Corporate Real Estate Management, Security,CCTV Infrast Enhancem - Counter Measures, -   ,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,6750.00,CW,City Wide,Service Improvement and Enhancement 
Corporate Real Estate Management, Security,CCTV Infrastructure Enhancement  ,750.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,750.00,CW,City Wide,Service Improvement and Enhancement 
Corporate Real Estate Management, Security,Citywide Badge Design Program (Corp & Client) ,137.00,140.00, -   , -   , -   , -   , -   , -   , -   , -   ,277.00,CW,City Wide,Service Improvement and Enhancement 
Corporate Real Estate Management, Security,New ULC Control Ctr & Security Typical Consult'n ,50.00,50.00, -   , -   , -   , -   , -   , -   , -   , -   ,100.00,CW,City Wide,Service Improvement and Enhancement 
Corporate Real Estate Management, Security,PHYSICAL SECURITY CAPITAL PLANS - 2022 ,1414.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1414.00,CW,City Wide,Service Improvement and Enhancement 
Corporate Real Estate Management, Security,Physical Security Capital Plans - Future Years, -   ,1413.75,1413.75,1413.75,1413.75,1413.75,1413.75,1413.75,1413.75,1413.75,12723.75,CW,City Wide,Service Improvement and Enhancement 
Corporate Real Estate Management, Security,SOGR Client Security Program 2022,1501.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1501.00,CW,City Wide,Service Improvement and Enhancement 
Corporate Real Estate Management, Security,Var Locs - Global Corp Security Program, -   ,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,1250.00,11250.00,CW,City Wide,Health and Safety 
Corporate Real Estate Management, Security,Var Locs - Global Corp Security Program,850.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,850.00,CW,City Wide,Service Improvement and Enhancement 
Corporate Real Estate Management, St. Lawrence Market North Property ,Redevelopment of St. Lawrence Market North,15418.00,19000.00, -   , -   , -   , -   , -   , -   , -   , -   ,34418.00,13,Toronto Centre,Service Improvement and Enhancement 
Corporate Real Estate Management,Barrier Free/Equity,AODA INITIATIVE - PHASE 1 .2016,2799.00,999.70,7959.00,2000.00, -   , -   , -   , -   , -   , -   ,13757.70,CW,City Wide,Legislated 
Corporate Real Estate Management,Barrier Free/Equity,Var Locs-AODA-Phase 2,52378.00,59612.00,10589.00,10799.00, -   , -   , -   , -   , -   , -   ,133378.00,CW,City Wide,Legislated 
Corporate Real Estate Management,Building Security,Fire Services Security Upgrades,-190.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-190.00,CW,City Wide,Health and Safety 
Corporate Real Estate Management,Corporate Facilities Refurbishment Program, CFRP Phase II-Future Years-VAR CLIENTS&LOC 2021 ,300.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,300.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Corporate Facilities Refurbishment Program,CFRP Phase II-Future Years-VAR CLIENTS&LOC , -   ,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,4500.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Corporate Facilities Refurbishment Program,CFRP Phase II-VAR CLIENTS&LOC 2022,500.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,500.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Customer Experience,Channel & Counter Strategy , -   ,3340.00, -   , -   , -   , -   , -   , -   , -   , -   ,3340.00,CW,City Wide,Service Improvement and Enhancement 
Corporate Real Estate Management,Customer Experience,CRM Upgrade and Replacement ,2067.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,2067.00,CW,City Wide,Service Improvement and Enhancement 
Corporate Real Estate Management,Divisional SOGR,Various EMS Locations - various SOGR projects, -   , -   , -   ,18.00,86.00,312.00, -   , -   , -   , -   ,416.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Emergency, Various Locations - Emergency Capital Repairs, -   , -   , -   ,2417.00,1086.00, -   , -   , -   , -   , -   ,3503.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Emergency,91 Front E-Exhaus/Roofanchor (Upper Level),200.00,-200.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,13,Toronto Centre,State of Good Repair 
Corporate Real Estate Management,Emergency,Emergency Capital Repairs,1237.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1237.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Emergency,Fire and Life Safety Audits, -   ,2000.00,3000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,19000.00,CW,City Wide,Health and Safety 
Corporate Real Estate Management,Emergency,Fire and Life Safety Audits 2021 ,1500.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1500.00,CW,City Wide,Health and Safety 
Corporate Real Estate Management,Emergency,Fire and Life Safety Audits 2022 ,1500.00,2500.00, -   , -   , -   , -   , -   , -   , -   , -   ,4000.00,CW,City Wide,Health and Safety 
Corporate Real Estate Management,Emergency,Var Locs -Emergency Capital Repairs-2020, -   ,500.00, -   , -   , -   , -   , -   , -   , -   , -   ,500.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Emergency,Various Locations - Emergency Capital Repairs, -   , -   ,1775.00, -   , -   ,1918.00,780.00,1339.00,1741.00,1665.00,9218.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Emergency,Various Locations-Emergency Capital Repairs, -   ,1941.00, -   , -   , -   , -   , -   , -   , -   , -   ,1941.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Energy Conservation & Demand Management,Energy Conservation & Demand Mgt - 2021,500.00,1000.00, -   , -   , -   , -   , -   , -   , -   , -   ,1500.00,CW,City Wide,Service Improvement and Enhancement 
Corporate Real Estate Management,Energy Conservation & Demand Management,Energy Conservation & Demand Mgt 2022 ,500.00,1000.00,2500.00, -   , -   , -   , -   , -   , -   , -   ,4000.00,CW,City Wide,Service Improvement and Enhancement 
Corporate Real Estate Management,Energy Conservation & Demand Management,Energy Conservation & Demand Mngmt Plan-Future Yrs, -   , -   ,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,2000.00,16000.00,CW,City Wide,Service Improvement and Enhancement 
Corporate Real Estate Management,Energy Conservation & Demand Management,Energy Conservation&Demand Management Plan - 2018,500.00,900.00, -   , -   , -   , -   , -   , -   , -   , -   ,1400.00,CW,City Wide,Service Improvement and Enhancement 
Corporate Real Estate Management,Environmental,Emerg Environmental Remediation  - 2027, -   , -   , -   , -   , -   ,354.00,354.00,354.00,354.00,354.00,1770.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Environmental,Emergency Environmental Remediation ,310.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,310.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Environmental,"Subs & Environ Survey,Sample & Abat-2022",1248.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1248.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Environmental,"Subs & Environ Survey,Sample & Abat-2027", -   , -   , -   , -   , -   ,1429.00,1429.00,1429.00,1429.00,1429.00,7145.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Environmental,Var Locs-Designated Substance and Environmental An, -   ,1282.00,1316.00,1351.00,1351.00, -   , -   , -   , -   , -   ,5300.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Environmental,Var Locs-Emergency Environmental Remediation &, -   ,318.00,326.00, -   , -   , -   , -   , -   , -   , -   ,644.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Environmental,Var Locs-Emergency Environmental Remediation & Aba, -   , -   , -   ,335.00,335.00, -   , -   , -   , -   , -   ,670.00,CW,City Wide,State of Good Repair 
Corporate Real Estate Management,Mechanical and Electrical,  55 John Street -Standpipe Pump VAV Transformers, -   , -   ,127.00,789.00,3513.00, -   , -   , -   , -   , -   ,4429.00,10,Spadina-Fort York,State of Good Repair 
Corporate Real Estate Management,Mechanical and Electrical, 1288 Queen W -Domestic Hot Water Heater, -   , -   , -   ,10.00,46.00, -   , -   , -   , -   , -   ,56.00,4,Parkdale-High Park,State of Good Repair 
Corporate Real Estate Management,Mechanical and Electrical, 1401 CASTLEFIELD AVE -Rplc of Gas Fired Infrared , -   , -   , -   ,9.00,83.00, -   , -   , -   , -   , -   ,92.00,8,Eglinton-Lawrence,State of Good Repair 
Corporate Real Estate Management,Mechanical and Electrical, 1401 CASTLEFIELD AVE-Rplc  of Exhaust Fans EF-3 a, -   , -   , -   ,6.00,32.00, -   , -   , -   , -   , -   ,38.00,8,Eglinton-Lawrence,State of Good Repair 
Corporate Real Estate Management,Mechanical and Electrical," 2340 Birchmount Rd-Replace Interior, exterior Lig", -   , -   , -   ,29.00,266.00, -   , -   , -   , -   , -   ,295.00,22,Scarborough-Agincourt,State of Good Repair 
Corporate Real Estate Management,Mechanical and Electrical, 313 PHARMACY AVE-Replace Existing Front Office & , -   ,14.00,157.00, -   , -   , -   , -   , -   , -   , -   ,171.00,20,Scarborough Southwest,State of Good Repair 
Corporate Real Estate Management,Mechanical and Electrical, 320 BERING AVE-Replacement of electrical distribu, -   , -   , -   ,20.00,215.00, -   , -   , -   , -   , -   ,235.00,3,Etobicoke-Lakeshore,State of Good Repair 
Corporate Real Estate Management,Mechanical and Electrical, 433 Eastern Ave-Replacement of Building Make-up U, -   , -   , -   ,11.00,118.00, -   , -   , -   , -   , -   ,129.00,14,Toronto-Danforth,State of Good Repair 
Corporate Real Estate Management,Mechanical and Electrical, 433 Eastern Ave-Rplc of the Hot Water Heating Boi, -   , -   , -   ,6.00,52.00, -   , -   , -   , -   , -   ,58.00,14,Toronto-Danforth,State of Good Repair 
Corporate Real Estate Management,Mechanical and Electrical, 524 OAKWOOD AVE -Replace Fire Alarm System, -   , -   , -   , -   ,13.00,125.00, -   , -   , -   , -   ,138.00,12,Toronto-St. Pauls,State of Good Repair 
Corporate Real Estate Management,Mechanical and Electrical, 61 Toryork- Carbon Monoxide Detection, -   , -   , -   ,11.00,101.00, -   , -   , -   , -   , -   ,112.00,7,Humber River-Black Creek,State of Good Repair 
Corporate Real Estate Management,Mechanical and Electrical, 765 Queen St-Replace rooftop HVAC unit #1, -   , -   ,10.00,88.00, -   , -   , -   , -   , -   , -   ,98.00,14,Toronto-Danforth,State of Good Repair 
Corporate Real Estate Management,Mechanical and Electrical," 95 Lavinia Ave-Replace A/C  # 4, 8 and AC unit", -   , -   , -   ,8.00,93.00, -   , -   , -   , -   , -   ,101.00,4,Parkdale-High Park,State of Good Repair 
