Program/Agency Name,Project Name,Sub-Project Name,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Total 10 Year,Ward Number,Ward,Category
Children's Services,Mount Dennis Child Care Centre,Mount Dennis Child Care Centre,469.00,6000.00,1396.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7865.00,5.00,York South-Weston,Service Improvement and Enhancement
Children's Services,North East Scarborough Recreation Centre,North East Scarborough RC Add'L Funding,0.00,0.00,1500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1500.00,25.00,Scarborough-Rouge Park,Service Improvement and Enhancement
Children's Services,North East Scarborough Recreation Centre,North East Scarborough RC Net Zero,0.00,0.00,800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,800.00,25.00,Scarborough-Rouge Park,Service Improvement and Enhancement
Children's Services,North East Scarborough Recreation Centre,North East Scarborough Recreation Centre,1000.00,2250.00,1389.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4639.00,25.00,Scarborough-Rouge Park,Service Improvement and Enhancement
Children's Services,St. Barnabas Catholic School,St. Barnabas Catholic School,756.00,521.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1277.00,23.00,Scarborough-North,Service Improvement and Enhancement
Children's Services,St. Bartholomew Catholic School,St Bartholomew Additional Funding 2020,0.00,0.00,800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,800.00,23.00,Scarborough-North,Service Improvement and Enhancement
Children's Services,St. Bartholomew Catholic School,St. Bartholomew Catholic School,0.00,1333.00,400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1733.00,23.00,Scarborough-North,Service Improvement and Enhancement
Children's Services,Stanley Public School,Stanley Public School,652.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,852.00,7.00,Humber River-Black Creek,Service Improvement and Enhancement
Children's Services,TCH Needle Firway,TCH Needle Firway,0.00,2000.00,2825.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4825.00,7.00,Humber River-Black Creek,Service Improvement and Enhancement
Children's Services,Wallace Emerson Child Care Centre,Wallace Emerson Child Care Centre,0.00,1607.00,4733.00,1100.00,0.00,0.00,0.00,0.00,0.00,0.00,7440.00,9.00,Davenport,Service Improvement and Enhancement
Children's Services,Western North York Child Care,Western North York Child Care,0.00,713.00,2400.00,1677.00,0.00,0.00,0.00,0.00,0.00,0.00,4790.00,7.00,Humber River-Black Creek,Service Improvement and Enhancement
Children's Services,Willowridge Child Care Centre,Willowridge Child Care Centre,150.00,1000.00,345.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1495.00,1.00,Etobicoke North,Service Improvement and Enhancement
Children's Services,Woodbine Child Care Centre,Woodbine Child Care Centre,0.00,1000.00,2600.00,1000.00,225.00,0.00,0.00,0.00,0.00,0.00,4825.00,1.00,Etobicoke North,Service Improvement and Enhancement
Corporate Real Estate Management,St. Lawrence Market North Property,Redevelopment of St. Lawrence Market North,15418.00,19000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34418.00,13.00,Toronto Centre,Service Improvement and Enhancement
Corporate Real Estate Management,Emergency,91 Front E-Exhaus/Roofanchor (Upper Level),200.00,-200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,13.00,Toronto Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,55 John Street -Standpipe Pump VAV Transformers,0.00,0.00,127.00,789.00,3513.00,0.00,0.00,0.00,0.00,0.00,4429.00,10.00,Spadina-Fort York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,1288 Queen W -Domestic Hot Water Heater,0.00,0.00,0.00,10.00,46.00,0.00,0.00,0.00,0.00,0.00,56.00,4.00,Parkdale-High Park,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,1401 CASTLEFIELD AVE -Rplc of Gas Fired Infrared,0.00,0.00,0.00,9.00,83.00,0.00,0.00,0.00,0.00,0.00,92.00,8.00,Eglinton-Lawrence,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,1401 CASTLEFIELD AVE-Rplc  of Exhaust Fans EF-3 a,0.00,0.00,0.00,6.00,32.00,0.00,0.00,0.00,0.00,0.00,38.00,8.00,Eglinton-Lawrence,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,"2340 Birchmount Rd-Replace Interior, exterior Lig",0.00,0.00,0.00,29.00,266.00,0.00,0.00,0.00,0.00,0.00,295.00,22.00,Scarborough-Agincourt,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,313 PHARMACY AVE-Replace Existing Front Office &,0.00,14.00,157.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,171.00,20.00,Scarborough Southwest,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,320 BERING AVE-Replacement of electrical distribu,0.00,0.00,0.00,20.00,215.00,0.00,0.00,0.00,0.00,0.00,235.00,3.00,Etobicoke-Lakeshore,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,433 Eastern Ave-Replacement of Building Make-up U,0.00,0.00,0.00,11.00,118.00,0.00,0.00,0.00,0.00,0.00,129.00,14.00,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,433 Eastern Ave-Rplc of the Hot Water Heating Boi,0.00,0.00,0.00,6.00,52.00,0.00,0.00,0.00,0.00,0.00,58.00,14.00,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,524 OAKWOOD AVE -Replace Fire Alarm System,0.00,0.00,0.00,0.00,13.00,125.00,0.00,0.00,0.00,0.00,138.00,12.00,Toronto-St. Pauls,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,61 Toryork- Carbon Monoxide Detection,0.00,0.00,0.00,11.00,101.00,0.00,0.00,0.00,0.00,0.00,112.00,7.00,Humber River-Black Creek,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,765 Queen St-Replace rooftop HVAC unit #1,0.00,0.00,10.00,88.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00,14.00,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,"95 Lavinia Ave-Replace A/C  # 4, 8 and AC unit",0.00,0.00,0.00,8.00,93.00,0.00,0.00,0.00,0.00,0.00,101.00,4.00,Parkdale-High Park,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,10 William Carson-Rpl Furnaces,0.00,0.00,0.00,0.00,4.00,51.00,0.00,0.00,0.00,0.00,55.00,15.00,Don Valley West,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,100 Galloway Road - Various Projects,0.00,0.00,12.00,139.00,0.00,0.00,0.00,0.00,0.00,0.00,151.00,24.00,Scarborough-Guildwood,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,100 Queen W-Installation of Aut. Fire Sprinkle Sys,0.00,0.00,0.00,0.00,500.00,2000.00,2000.00,2000.00,2000.00,0.00,8500.00,10.00,Spadina-Fort York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,100 Queen-Wet Sprnklr Control Valves,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,294.00,294.00,10.00,Spadina-Fort York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,100 Turnberry - Various SOGR Project,0.00,0.00,0.00,25.00,194.00,0.00,0.00,0.00,0.00,0.00,219.00,9.00,Davenport,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,105 Cedarvale - Retrofit Existing Lighting System,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,45.00,52.00,19.00,Beaches-East York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,1076 Pape Ave - Various Projects,0.00,21.00,243.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,264.00,14.00,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,111 KING ST E-Replace Existing Rooftop HVAC Units,0.00,0.00,0.00,14.00,153.00,0.00,0.00,0.00,0.00,0.00,167.00,13.00,Toronto Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,115 Parkway Forest -Various Projects,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,121.00,121.00,17.00,Don Valley North,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,1300 Sheppard Ave. W - Replacement of Power Distri,0.00,0.00,6.00,67.00,0.00,0.00,0.00,0.00,0.00,0.00,73.00,6.00,York Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,132 Bellevue Ave-Replace Unit Heater,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,85.00,11.00,University-Rosedale,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,135 Davenport Rd - Various Projects,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,27.00,11.00,University-Rosedale,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,1401 Castlefield Ave-Lighting System including Exi,0.00,0.00,0.00,18.00,233.00,0.00,0.00,0.00,0.00,0.00,251.00,8.00,Eglinton-Lawrence,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,1401 Castlefield Ave-Replac. of the Domestic H W,0.00,0.00,0.00,6.00,16.00,0.00,0.00,0.00,0.00,0.00,22.00,8.00,Eglinton-Lawrence,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,1401 CASTLEFIELD AVE-Rplc of the Heating Unit in t,0.00,0.00,0.00,6.00,38.00,0.00,0.00,0.00,0.00,0.00,44.00,8.00,Eglinton-Lawrence,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,150 Borough - Replacement of distribution panels a,0.00,0.00,17.00,185.00,0.00,0.00,0.00,0.00,0.00,0.00,202.00,21.00,Scarborough Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,"150 BoroughDr-Repl.circulation pumps,fire pumps",0.00,0.00,0.00,0.00,28.00,386.00,0.00,0.00,0.00,0.00,414.00,21.00,Scarborough Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,150 Disco - Replace rooftop A/C units,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,77.00,85.00,1.00,Etobicoke North,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,150 Disco-Electrical Distribution Upgrades,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,186.00,217.00,1.00,Etobicoke North,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,157 King St E - Repl of Exhaust Fans,0.00,0.00,5.00,52.00,0.00,0.00,0.00,0.00,0.00,0.00,57.00,13.00,Toronto Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,175 Memorial Park Ave - Various Projects,0.00,0.00,14.00,154.00,0.00,0.00,0.00,0.00,0.00,0.00,168.00,14.00,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,18 Dyas-Replacement of Fire Alarm System,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,287.00,287.00,18.00,Willowdale,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,"20 Beffort-Boilers, Sump pump, rooftop exhaust fan",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.00,67.00,6.00,York Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,20 Beffort-Upgrade Office Area Power,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,6.00,York Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,2050 JANE-Rpl Central UPS System,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,198.00,198.00,5.00,York South-Weston,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,2075 BAYVIEW AVE-CO Detection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.00,82.00,15.00,Don Valley West,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,235 CIBOLA AVE - Garage Unit Heater,0.00,0.00,0.00,9.00,29.00,0.00,0.00,0.00,0.00,0.00,38.00,10.00,Spadina-Fort York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,255 Spadina-Hot Water Heater,0.00,5.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,12.00,Toronto-St. Pauls,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,2700 Eglinton Ave W-Replace rooftop VAV unit AHU-2,0.00,0.00,0.00,33.00,320.00,0.00,0.00,0.00,0.00,0.00,353.00,5.00,York South-Weston,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,"2733 Brimley Rd-Replace Interior, Exterior Lightin",0.00,0.00,13.00,181.00,0.00,0.00,0.00,0.00,0.00,0.00,194.00,23.00,Scarborough-North,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,3 Dohme Ave - Various Projects,0.00,13.00,122.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.00,19.00,Beaches-East York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,3 Dohme Ave-Rpl Rooftop HVAC Sys,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,107.00,116.00,19.00,Beaches-East York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,30 Northline Rd Replacement of Rooftop HVAC Units,0.00,0.00,0.00,9.00,111.00,0.00,0.00,0.00,0.00,0.00,120.00,19.00,Beaches-East York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,"30 Northline Rd-Lighting System, Exit signs & Emer",0.00,0.00,0.00,12.00,115.00,0.00,0.00,0.00,0.00,0.00,127.00,19.00,Beaches-East York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,30 Northline Rd-Replacement of the Domestic Hot Wa,0.00,0.00,0.00,5.00,64.00,0.00,0.00,0.00,0.00,0.00,69.00,19.00,Beaches-East York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,30 NORTHLINE RD-Replc of Rooftop HVAC Unit # 1,0.00,0.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,12.00,19.00,Beaches-East York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,3100 EGLINTON AVE E - Various Projects,0.00,0.00,0.00,5.00,33.00,0.00,0.00,0.00,0.00,0.00,38.00,24.00,Scarborough-Guildwood,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,313 Pharmacy Ave-Replace Existing Activity Room Ro,0.00,13.00,142.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155.00,20.00,Scarborough Southwest,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,320 BERING AVE -Rplc of existing electrical panels,0.00,0.00,0.00,9.00,29.00,0.00,0.00,0.00,0.00,0.00,38.00,3.00,Etobicoke-Lakeshore,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,320 Bering Ave- Rplc.Domestic Hot Water Heater,0.00,0.00,0.00,6.00,16.00,0.00,0.00,0.00,0.00,0.00,22.00,3.00,Etobicoke-Lakeshore,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,320 BERING AVE-Air Make-up Units # 1 and 2,0.00,0.00,0.00,14.00,166.00,0.00,0.00,0.00,0.00,0.00,180.00,3.00,Etobicoke-Lakeshore,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,320 Bering Ave-Replc of Air Compressor in Parking/,0.00,0.00,0.00,5.00,57.00,0.00,0.00,0.00,0.00,0.00,62.00,3.00,Etobicoke-Lakeshore,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,320 Bering Ave-Replc of the Distribution switchboa,0.00,0.00,0.00,17.00,181.00,0.00,0.00,0.00,0.00,0.00,198.00,3.00,Etobicoke-Lakeshore,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,320 Bering Ave-Rplc of South Office HVAC Unit # 2,0.00,0.00,0.00,5.00,61.00,0.00,0.00,0.00,0.00,0.00,66.00,3.00,Etobicoke-Lakeshore,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,320 BERING AVE-Rplc of the Unit Heaters,0.00,0.00,0.00,11.00,69.00,0.00,0.00,0.00,0.00,0.00,80.00,3.00,Etobicoke-Lakeshore,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,320 BERING-Lighting Sys. signs & emerg.battery,0.00,0.00,13.00,137.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,3.00,Etobicoke-Lakeshore,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,330 BERING AVE-Rep.Rooftop HVAC Units,0.00,0.00,0.00,9.00,77.00,0.00,0.00,0.00,0.00,0.00,86.00,3.00,Etobicoke-Lakeshore,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,"40 Coronation Dr-Asphalt Repairs & Painted Lines,",0.00,28.00,158.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186.00,24.00,Scarborough-Guildwood,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,"433 Eastern Ave -Replc. of Fan Coil Unit, Compress",0.00,0.00,0.00,11.00,124.00,0.00,0.00,0.00,0.00,0.00,135.00,14.00,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,433 Eastern Ave -Rplc of Sprinkler System Alarm Ch,0.00,0.00,0.00,10.00,94.00,0.00,0.00,0.00,0.00,0.00,104.00,14.00,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,433 EASTERN AVE-Distribution and Lighting Panels,0.00,0.00,0.00,22.00,183.00,0.00,0.00,0.00,0.00,0.00,205.00,14.00,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,433 Eastern Ave-Replac. of the disconnect switches,0.00,0.00,0.00,10.00,51.00,0.00,0.00,0.00,0.00,0.00,61.00,14.00,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,433 Eastern Ave-Replac. of the Domestic Hot Water,0.00,0.00,0.00,6.00,34.00,0.00,0.00,0.00,0.00,0.00,40.00,14.00,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,433 Eastern Ave-Rplc of Paint Booth Exhaust,0.00,0.00,0.00,6.00,26.00,0.00,0.00,0.00,0.00,0.00,32.00,14.00,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,433 Eastern Ave-Rplc of the Distribution Panels an,0.00,0.00,0.00,24.00,259.00,0.00,0.00,0.00,0.00,0.00,283.00,14.00,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,433 Eastern Ave-Rplc of the Domestic Hot Water Hea,0.00,0.00,0.00,6.00,28.00,0.00,0.00,0.00,0.00,0.00,34.00,14.00,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,4330 DUFFERIN ST - Repl of Switchboards &  MCCs,0.00,0.00,5.00,124.00,349.00,1000.00,0.00,0.00,0.00,0.00,1478.00,6.00,York Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,4330 Dufferin St - Various Projects,0.00,0.00,0.00,206.00,2435.00,1409.00,0.00,0.00,0.00,0.00,4050.00,6.00,York Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,4330 Dufferin St - Various Projects - Electrical 1,0.00,0.00,0.00,44.00,630.00,0.00,0.00,0.00,0.00,0.00,674.00,6.00,York Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,4330 Dufferin St - Various Projects - Mechanical 1,0.00,0.00,0.00,5.00,60.00,237.00,0.00,0.00,0.00,0.00,302.00,6.00,York Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,4330 Dufferin St -Various Projects - Mech.1,0.00,0.00,153.00,105.00,1000.00,0.00,0.00,0.00,0.00,0.00,1258.00,6.00,York Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,4330 Dufferin Str - Various Projects - Mech.2,0.00,0.00,0.00,196.00,1433.00,0.00,0.00,0.00,0.00,0.00,1629.00,6.00,York Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,44 BEECHWOOD DR-Replace existing power distributio,0.00,0.00,0.00,0.00,13.00,142.00,0.00,0.00,0.00,0.00,155.00,14.00,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,"4560 SHEPPARD AVE E-Replace Fire Alarm, Install Co",0.00,16.00,169.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.00,23.00,Scarborough-North,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,462 Runnymed Rd-DHW Heater and Interior Fire,0.00,18.00,182.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,4.00,Parkdale-High Park,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,"5100 Yonge - Storm & Sanitary Piping, Valves",0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,238.00,0.00,268.00,18.00,Willowdale,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,5100 Yonge -Mech SOGR Projects,0.00,0.00,5.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,18.00,Willowdale,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,"55 John - Supply Fans, Exhaust Fans",0.00,0.00,0.00,0.00,0.00,0.00,0.00,277.00,3026.00,0.00,3303.00,10.00,Spadina-Fort York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,55 John - Var Mech SOGR Projects,0.00,0.00,50.00,-542.00,-910.00,82.00,893.00,0.00,0.00,0.00,-427.00,10.00,Spadina-Fort York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,55 John -Compartment units & VAV,0.00,0.00,0.00,0.00,0.00,112.00,1221.00,0.00,0.00,0.00,1333.00,10.00,Spadina-Fort York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,55 John -Mech SOGR Projects,0.00,29.00,311.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,340.00,10.00,Spadina-Fort York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,55 John -Sprinkler Pump Parking Fans VAV,0.00,0.00,0.00,0.00,0.00,0.00,74.00,326.00,667.00,0.00,1067.00,10.00,Spadina-Fort York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,55 John-Rpl HW Heating Pumps&Other Mech,0.00,0.00,0.00,0.00,0.00,0.00,84.00,909.00,0.00,0.00,993.00,20.00,Scarborough Southwest,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,55 John-VAVBoxes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107.00,107.00,10.00,Spadina-Fort York,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,555 Oakwood Ave-Replace Rooftop HVAC Units,0.00,0.00,0.00,8.00,91.00,0.00,0.00,0.00,0.00,0.00,99.00,12.00,Toronto-St. Pauls,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,60 Queen W -Var Mech SOGR Projects,0.00,0.00,21.00,274.00,0.00,0.00,0.00,0.00,0.00,0.00,295.00,13.00,Toronto Centre,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,61 TORYORK-Exhaust Fan No. 2,0.00,0.00,0.00,5.00,18.00,0.00,0.00,0.00,0.00,0.00,23.00,7.00,Humber River-Black Creek,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,61 Toryork-Lighting System incl Exit signs,0.00,0.00,0.00,11.00,124.00,0.00,0.00,0.00,0.00,0.00,135.00,7.00,Humber River-Black Creek,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,662 JANE ST -Replace heating furnace and air condi,0.00,0.00,0.00,5.00,52.00,0.00,0.00,0.00,0.00,0.00,57.00,5.00,York South-Weston,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,700 EGLINTON AVE W-Fire Alarm System,0.00,0.00,9.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,8.00,Eglinton-Lawrence,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,703 Don Mills - Replace Plumbing Fixtures,0.00,0.00,40.00,335.00,0.00,0.00,0.00,0.00,0.00,0.00,375.00,16.00,Don Valley East,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,703 Don Mills - Replace UPS#1 Wet Cell Batteries,0.00,0.00,0.00,454.00,0.00,0.00,0.00,0.00,0.00,0.00,454.00,16.00,Don Valley East,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,765 Queen St E-Replace 2 hot water heating boiler,0.00,0.00,0.00,10.00,117.00,0.00,0.00,0.00,0.00,0.00,127.00,14.00,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,786 Dundas St E_Replace existing heater boiler...,0.00,0.00,0.00,36.00,205.00,0.00,0.00,0.00,0.00,0.00,241.00,14.00,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,786DundasStE_Replace existing dust collection syst,0.00,0.00,0.00,36.00,336.00,0.00,0.00,0.00,0.00,0.00,372.00,14.00,Toronto-Danforth,State of Good Repair
Corporate Real Estate Management,Mechanical and Electrical,821 Progress Ave - Replacement of All Power Distri,0.00,0.00,17.00,159.00,0.00,0.00,0.00,0.00,0.00,0.00,176.00,24.00,Scarborough-Guildwood,State of Good Repair
